Facility Name,Address,City,Zipcode,Latitude,Longitude,Facility Group,Facility Subgroup,Facility Type
Mt. Moriah Church,1149 Eastern Parkway,Brooklyn,11213,40.669193,-73.930188,Human Services,Soup Kitchens and Food Pantries,Food Pantry
"Xavier Mission, Inc.",46 West   16 Street,New York,10011,40.73805,-73.995278,Human Services,Soup Kitchens and Food Pantries,Food Pantry
First Church of God,21-23 Birdsall Avenue,Far Rockaway,11691,40.606948,-73.75396,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Henry St. Settlement Sro,290 East    3 Street,New York,10009,40.72117,-73.979855,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Bronx SDA Church,1695 Washington Avenue,Bronx,10457,40.842209,-73.901134,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Crooke Avenue,97 Crooke Avenue,Brooklyn,11226,40.653189,-73.962403,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Gospel Hill Baptist Church,3265 3 Avenue,Bronx,10456,40.824764,-73.908724,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Holy Temple Church Inc.,136-25 Springfield Boulevard,Springfield Gardens,11413,40.677082,-73.754989,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Rush Temple A.M.E. Zion Church Pantry,119-48 Sutphin Boulevard,Jamaica,11436,40.677909,-73.791658,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Crown Heights Community Outreach Center,467 Rutland Road,Brooklyn,11203,40.659968,-73.945022,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Liberty Baptist Church,19 Gunther Place,Brooklyn,11233,40.676917,-73.911495,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Mesivtha of Staten Island,1870 Drumgoole Road East,Staten Is,10309,40.527527,-74.214378,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Advocacy,299 Broadway,New York,10007,40.715173,-74.005906,Health Care,Mental Health,Support Mental Health
J. Pulitzer Intermediate School - SBMH,33-34 80 Street,Jackson Heights,11372,40.754262,-73.887424,Health Care,Mental Health,Support Mental Health
First Grace Baptist Church,2799 8 Avenue,New York,10039,40.825341,-73.940469,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Inpatient Unit,355 Bard Avenue,Staten Is,10310,40.635687,-74.105867,Health Care,Mental Health,Inpatient Mental Health
Kingsbridge Heights Community Center Annex,538 East Fordham Road,Bronx,10458,40.859152,-73.887167,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Family Support Services (Children and Family),85-70 148 Street,Jamaica,11435,40.708814,-73.811327,Health Care,Mental Health,Support Mental Health
Consult/Liaison Svcs - St. Luke's Site,1090 Amsterdam Avenue,New York,10025,40.805389,-73.962508,Health Care,Mental Health,Support Mental Health
Vineyard Food Pantry,1140 Teller Avenue,Bronx,10456,40.83068,-73.912245,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Rusty Staub Food Pantry,34 West  134 Street,New York,10037,40.812377,-73.94036,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Mt. Olivet Gospel Church Food Pantry,33-27 97 Street,Corona,11368,40.756145,-73.870846,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Christian Church of Canarsie,602 East   89 Street,Brooklyn,11236,40.642409,-73.91003,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Trinity Human Service Corp.,153 A Johnson Avenue,Brooklyn,11206,40.706533,-73.943899,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Korean Community Services Of Metropolitan New York,37-06 111 Street,Corona,11368,40.753581,-73.857237,Human Services,Senior Services,Neighborhood Senior Centers
Tomche Shabbos of Boro Park,6225 New Utrecht Avenue,Brooklyn,11219,40.625314,-73.996929,Human Services,Soup Kitchens and Food Pantries,Food Pantry
All Saints RC Church,47 East  129 Street,New York,10035,40.808262,-73.938231,Human Services,Soup Kitchens and Food Pantries,Food Pantry
First Mary Magdalene Temple,202 Albany Avenue,Brooklyn,11213,40.673551,-73.939289,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Fountain House Bronx Pyschosocial Clubhouse,564 Walton Avenue,Bronx,10451,40.819136,-73.927893,Health Care,Mental Health,Support Mental Health
Fort Tryon Center for Rehabilitation and Nursing,1916 Park Avenue,New York,10037,40.80869,-73.936867,Health Care,Other Health Care,Adult Day Health Care Program - Offsite
Shiloh Consulting,214 West   29 Street,New York,10001,40.748074,-73.994,Health Care,Mental Health,Outpatient Mental Health
CCNS Rockaway Mental Health Services,18-47 Mott Avenue,Far Rockaway,11691,40.603298,-73.75154,Health Care,Mental Health,Outpatient Mental Health
The Salvation Army Sunset Park Corps,520 50 Street,Brooklyn,11220,40.64461,-74.009909,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. John's Bread of Life,213 West   30 Street,New York,10001,40.748939,-73.993131,Human Services,Soup Kitchens and Food Pantries,Food Pantry
PS 081q Jean Paul Richter,559 Cypress Avenue,Ridgewood,11385,40.703836,-73.911997,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Eny Dr. Lutas Center,3060 Fulton Street,Brooklyn,11208,40.680661,-73.881656,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Friendly Christian Church,569 Hart Street,Brooklyn,11221,40.697183,-73.92927,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Church of the Annunciation,88 Convent Avenue,New York,10027,40.816248,-73.953168,Human Services,Soup Kitchens and Food Pantries,Food Pantry
NYCTA Ind Line Elevated Tracks,4 Place,Brooklyn,11231,40.677086,-73.996936,Transportation,Other Transportation,Transportation Facility
Little Sisters of the Assumption,333 East  115 Street,New York,10029,40.795878,-73.936639,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bed-Stuy Campaign Against Hunger,2004 Fulton Street,Brooklyn,11233,40.678428,-73.918127,Human Services,Soup Kitchens and Food Pantries,Food Pantry
J.U.S.T.I.C.E. Organization,219 Beach   28 Street,Far Rockaway,11691,40.595482,-73.761408,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Jasmine Court,759 East  138 Street,Bronx,10454,40.804393,-73.911079,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Kerith SDA Church,230-11 Linden Boulevard,Cambria Heights,11411,40.692385,-73.730862,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bronx Bible Church,1326 Morrison Avenue,Bronx,10472,40.832672,-73.87512,Human Services,Soup Kitchens and Food Pantries,Food Pantry
The River Fund New York,89-11 Lefferts Boulevard,Richmond Hill,11418,40.696991,-73.829131,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. Edward Food Pantry,6581 Hylan Boulevard,Staten Is,10309,40.51219,-74.222434,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Project Create-Anthony House,73 Lenox Avenue,New York,10026,40.800671,-73.951116,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Primitive Christian Church,207 East Broadway,New York,10002,40.714028,-73.987768,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Howie the Harp,2090 7 Avenue,New York,10027,40.808753,-73.948928,Health Care,Mental Health,Support Mental Health
New Life SDA Church,885 Thomas S Boyland Street,Brooklyn,11212,40.658697,-73.910515,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Bedford Central Presbyterian Church,1200 Dean Street,Brooklyn,11216,40.676552,-73.949561,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Northeast Brooklyn Social Services,376 Throop Avenue,Brooklyn,11221,40.691324,-73.942896,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Second Chance Christian Center,1141 Fteley Avenue,Bronx,10472,40.828227,-73.871581,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Pentecostal Rescue House of Prayer,2415 Pitkin Avenue,Brooklyn,11208,40.673992,-73.883223,Human Services,Soup Kitchens and Food Pantries,Food Pantry
National Council of Jewish Women,241 West   72 Street,New York,10023,40.779504,-73.982994,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Essence/IS 311 Middle School,590 Sheffield Avenue,Brooklyn,11207,40.662254,-73.894755,Youth Services,"Youth Centers, Literacy Programs, Job Training, and Immigrant Services",Youth Program
Mt. Carmel Baptist Church,1376 Prospect Avenue,Bronx,10459,40.830911,-73.896501,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Truth Center for Higher Consciousness,4622 Farragut Road,Brooklyn,11203,40.637014,-73.931955,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Puerto Rican Family Institute - Manhattan Clinic,145 West   15 Street,New York,10011,40.738954,-73.997908,Health Care,Mental Health,Outpatient Mental Health
Peniel SDA Church,1210 Utica Avenue,Brooklyn,11203,40.643039,-73.929869,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. Stephen Outreach Inc.,874 Myrtle Avenue,Brooklyn,11206,40.695366,-73.947115,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Ongoing Employment,307 St Marks Place,Staten Is,10301,40.642546,-74.078122,Health Care,Mental Health,Support Mental Health
Network Plus I,25 Flatbush Avenue,Brooklyn,11217,40.688022,-73.979963,Health Care,Mental Health,Support Mental Health
Bread of Life Mission,2176 Grand Concourse,Bronx,10457,40.855019,-73.900827,Human Services,Soup Kitchens and Food Pantries,Food Pantry
Kowal,149 Manhattan Avenue,New York,10025,40.799231,-73.961325,Human Services,Permanent Supportive SRO Housing,Supportive Housing
Queensboro SDA Church,96-50 222 Street,Queens Village,11429,40.718035,-73.731969,Human Services,Soup Kitchens and Food Pantries,Food Pantry
St. Augustine Food Pantry,1168 Franklin Avenue,Bronx,10456,40.829145,-73.90437,Human Services,Soup Kitchens and Food Pantries,Food Pantry
God's Battalion Prayer Church,661 Linden Boulevard,Brooklyn,11203,40.653891,-73.933935,Human Services,Soup Kitchens and Food Pantries,Food Pantry
